id,lastname,firstname,tussenvoegsel,email,cohort,student_class,gender,dob
3640441,Bebe,Agena,,bebeagena@student.olifantys.nl,2021,DKAB,F,2001-11-14
3640442,Arlinda,Alldredge,,arlindaalldredge@student.olifantys.nl,2021,DKAC,F,2000-03-02
3640443,Sid,Basta,,sidbasta@student.olifantys.nl,2021,DKAA,M,1998-11-28
3640444,Genny,Berg,van den,gennyvandenberg@student.olifantys.nl,2021,DKAC,F,1998-06-14
3640445,Ariel,Bodden,,arielbodden@student.olifantys.nl,2021,DKAC,F,1999-04-19
3640446,Pierre,Boese,,pierreboese@student.olifantys.nl,2019,DKAB,M,2001-10-06
3640447,Elin,Boggs,,elinboggs@student.olifantys.nl,2021,DKAC,F,2000-08-09
3640448,Herschel,Buford,,herschelbuford@student.olifantys.nl,2021,DKAB,M,2001-03-15
3640449,John,Caro,,johncaro@student.olifantys.nl,2021,DKAC,M,1999-06-24
3640450,Shella,Clifton,,shellaclifton@student.olifantys.nl,2021,DKAB,F,1996-12-24
3640451,Lenore,Coomes,,lenorecoomes@student.olifantys.n,2021,DKAA,F,1999-04-25
3640452,Milagros,Costillo,,milagroscostillo@student.olifantys.nl,2021,DKAC,M,1999-04-17
3640453,Horace,Crofoot,,horacecrofoot@student.olifantys.nl,2021,DKAA,M,1997-11-05
3640454,Nathan,Dudding,,nathandudding@student.olifantys.nl,2021,DKAC,M,1999-03-08
3640455,Ezequiel,Fairweather,,ezequielfairweather@student.olifantys.nl,2021,DKAB,M,2001-06-26
3640456,Judson,Fishel,,judsonfishel@student.olifantys.nl,2021,DKAA,M,2001-07-12
3640457,Aida,Flowers,,aidaflowers@student.olifantys.nl,2021,DKAC,F,1998-11-06
3640458,Jennie,Foerster,,jenniefoerster@student.olifantys.nl,2021,DKAC,F,2000-08-06
3640459,Dexter,Follmer,,dexterfollmer@student.olifantys.nl,2021,DKAC,M,2000-09-11
3640460,Clair,Fuselier,,clairfuselier@student.olifantys.nl,2021,DKAC,F,1996-12-17
3640461,Ulrike,Garretson,,ulrikegarretson@student.olifantys.nl,2021,DKAB,F,2001-07-22
3640462,Billy,Gerst,,billygerst@student.olifantys.nl,2021,DKAB,M,1998-07-08
3640463,Marg,Gillman,,marggillman@student.olifantys.nl,2021,DKAA,F,1999-06-09
3640464,Onita,Gloss,,onitagloss@student.olifantys.nl,2021,DKAB,F,2001-04-13
3640465,Josie,Gramling,,josiegramling@student.olifantys.nl,2021,DKAA,F,2001-03-24
3640466,Mark,Hodak,van der,markhodak@student.olifantys.nl,2021,DKAA,F,1996-12-13
3640467,Barney,Holz,to,barneyholz@student.olifantys.nl,2021,DKAC,M,1998-07-17
3640468,Glinda,Joines,,glindajoines@student.olifantys.nl,2021,DKAB,F,2000-02-06
3640469,Talitha,Link,,talithalink@student.olifantys.nl,2021,DKAA,F,2000-04-06
3640470,Inez,Lukach,,inezlukach@student.olifantys.nl,2021,DKAA,F,2001-06-03
3640471,Oma,Mcinnis,van,omamcinnis@student.olifantys.nl,2021,DKAB,M,1997-10-10
3640472,Edie,Mckinnon,op de,ediemckinnon@student.olifantys.nl,2021,DKAB,M,2001-05-12
3640473,Codi,Mcspadden,,codimcspadden@student.olifantys.nl,2021,DKAC,M,1999-08-11
3640474,Hortencia,Melendrez,,hortenciamelendrez@student.olifantys.nl,2021,DKAB,F,1997-05-21
3640475,Luba,Mendoza,,lubamendoza@student.olifantys.nl,2021,DKAC,F,2000-05-20
3640476,Cathie,Minor,,cathieminor@student.olifantys.nl,2021,DKAA,F,2000-08-27
3640477,Elijah,Moench,,elijahmoench@student.olifantys.nl,2021,DKAC,M,1997-10-24
3640478,Lauran,Moncayo,,lauranmoncayo@student.olifantys.nl,2021,DKAA,M,2001-08-11
3640479,Brigida,Mowbray,,brigidamowbray@student.olifantys.nl,2021,DKAA,F,1998-09-13
3640480,Chanell,Musselwhite,,chanellmusselwhite@student.olifantys.nl,2021,DKAB,F,1998-08-08
3640481,Myriam,Nanney,,myriamnanney@student.olifantys.nl,2021,DKAA,F,2001-03-17
3640482,Socorro,Negrin,,socorronegrin@student.olifantys.nl,2021,DKAC,M,2000-06-16
3640483,Jolie,Neu,,jolieneu@student.olifantys.nl,2019,DKAC,F,1998-08-10
3640484,Theola,Occhipinti,,theolaocchipinti@student.olifantys.nl,2021,DKAB,F,1999-08-27
3640485,Claire,Otero,,claireotero@student.olifantys.nl,2021,DKAB,F,1998-02-11
3640486,Jeremy,Philyaw,,jeremyphilyaw@student.olifantys.nl,2021,DKAC,M,1997-01-18
3640487,Monnie,Pipkin,,monniepipkin@student.olifantys.nl,2021,DKAC,F,1998-02-21
3640488,Daniele,Podesta,,danielepodesta@student.olifantys.nl,2021,DKAB,F,2000-02-24
3640489,Tomika,Printz,,tomikaprintz@student.olifantys.nl,2021,DKAC,F,2000-04-13
3640490,Leilani,Quirion,,leilaniquirion@student.olifantys.nl,2023,DKDD,F,1997-06-26
3640491,Felton,Rael,,feltonrael@student.olifantys.nl,2022,DKAB,M,1999-06-10
3640492,Sylvia,Rahaim,,sylviarahaim@student.olifantys.nl,2021,DKAB,F,2000-03-31
3640493,Georgiana,Reinhart,,georgianareinhart@student.olifantys.nl,2021,DKAC,F,1997-11-17
3640494,Jonell,Runion,,jonellrunion@student.olifantys.nl,2021,DKAA,M,1998-09-25
